Variable,Lead_Time,Error_Type,Min,Max,Mean,Median,IQR,RMSE
GHI,20,Absolute,0.0,1.1,5.285584179026802e-6,0.0,0.0,0.0018035152306241878
GHI,21,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,22,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,23,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,24,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,25,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,26,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,27,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,28,Absolute,0.0,46.900000000000006,1.235805970270622,0.0,0.0,4.044966836027243
GHI,29,Absolute,0.0,219.0,9.828403895882124,0.0,8.5,24.6834576947349
GHI,30,Absolute,0.0,397.2,28.22058023516784,6.400000000000006,26.2,59.50356333182403
GHI,31,Absolute,0.0,575.2,54.94757716952901,16.5,59.30000000000001,101.98489032629288
GHI,32,Absolute,0.0,743.9,83.39515108639084,30.30000000000001,105.40000000000006,144.27206492737417
GHI,33,Absolute,0.0,859.3,107.25673383424407,41.700000000000045,144.39999999999998,180.01960323857062
GHI,34,Absolute,0.0,964.0,124.14682910736241,51.79999999999998,172.2,204.34397824854574
GHI,35,Absolute,0.0,979.0,132.41508609316574,57.30000000000004,184.0,215.65617489109306
GHI,36,Absolute,0.0,974.0,134.44013140775436,60.0,184.8,218.20868864466883
GHI,37,Absolute,0.0,947.0,125.7844752688736,56.30000000000001,169.0,204.3526970227321
GHI,38,Absolute,0.0,860.0,105.19129348283242,44.400000000000006,133.60000000000002,174.64687724021616
GHI,39,Absolute,0.0,728.0,75.54844932903697,26.0,84.9,132.6972828907465
GHI,40,Absolute,0.0,600.4,43.36126341549967,11.899999999999999,41.400000000000034,85.78491914298871
GHI,41,Absolute,0.0,442.40000000000003,18.13589968774395,3.0,14.800000000000011,42.21619260878992
GHI,42,Absolute,0.0,248.8,3.425962764913658,0.0,2.0,12.140405667550715
GHI,43,Absolute,0.0,89.7,0.16745515235910877,0.0,0.0,1.5469844002975883
GHI,44,Absolute,0.0,0.2,1.8430537352555701e-6,0.0,0.0,0.0004746178707106413
GHI,45,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,46,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,47,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,48,Absolute,0.0,0.0,0.0,0.0,0.0,0.0
GHI,1,Relative,,,,,,
GHI,2,Relative,,,,,,
GHI,3,Relative,,,,,,
GHI,4,Relative,-1.2135922330097086,1.0,0.25893547473314377,0.22701926063995026,0.07875410744685055,
GHI,5,Relative,-9.472636815920398,1.0,-0.009116409272901456,0.05968169761273209,0.18743651667981087,
GHI,6,Relative,-16.1875,1.0,-0.1899809177013842,0.026233154009799694,0.1285465678229095,
GHI,7,Relative,-24.218009478672982,1.0,-0.3072419179642881,0.01292391978918191,0.1192625577335309,
GHI,8,Relative,-33.03317535545023,1.0,-0.44030941822743297,0.004190660403426423,0.13478792905525203,
GHI,9,Relative,-39.15238095238095,0.9951833021139952,-0.5610838203449967,-0.00012879962202854702,0.17069533231700426,
GHI,10,Relative,-42.857142857142854,0.9942917828222488,-0.6740705949912763,-0.002943480252520252,0.21911537945195908,
GHI,11,Relative,-44.095238095238095,0.99644128113879,-0.6860373054729371,-0.0042986425339366,0.22798908666645917,
GHI,12,Relative,-43.476190476190474,0.9978165938864629,-0.7255412396547657,-0.006657789613848202,0.2581694701097686,
GHI,13,Relative,-43.476190476190474,0.9986244841815681,-0.6865923783949166,-0.009111617312072893,0.2497410416907029,
GHI,14,Relative,-37.904761904761905,0.9985974754558204,-0.5815234490665656,-0.012422360248447204,0.20933851778555135,
GHI,15,Relative,-31.136363636363637,1.0,-0.4239355447660167,-0.02066772655007949,0.1727436681565121,
GHI,16,Relative,-25.970297029702966,1.0,-0.31540872196052316,-0.03380364491475603,0.1788526281494352,
GHI,17,Relative,-18.86206896551724,0.9993815708101422,-0.19917043376127985,-0.06125614361424915,0.17971127719522847,
GHI,18,Relative,-8.30232558139535,0.9969403365629781,-0.10445614554798907,-0.11982881597717555,0.1757304505214426,
GHI,19,Relative,-4.183760683760684,0.9929824561403509,-0.08539685948880564,-0.14705882352941177,0.13150765896665517,
GHI,20,Relative,,,,,,
GHI,21,Relative,,,,,,
GHI,22,Relative,,,,,,
GHI,23,Relative,,,,,,
GHI,24,Relative,,,,,,
GHI,25,Relative,,,,,,
GHI,26,Relative,,,,,,
GHI,27,Relative,,,,,,
GHI,28,Relative,-1.3872549019607847,1.0,0.29922122052275474,0.22509225092250926,0.15759297520661153,
GHI,29,Relative,-8.599033816425122,1.0,0.015765529058509736,0.06670984455958556,0.2323699815036449,
GHI,30,Relative,-19.28155339805825,1.0,-0.15454697534002257,0.024757804090419926,0.19320066334991712,
GHI,31,Relative,-26.414634146341463,1.0,-0.2841052303694458,0.0121199452927038,0.14083342031037374,
